A normalised
8055.0 6.198385499999999135e-04
8060.0 6.879240000000000224e-04
8065.0 6.871384999999999603e-04
8070.0 7.549883000000000505e-04
8075.0 8.226809999999999115e-04
8080.0 8.217383999999999453e-04
8085.0 8.891954500000000044e-04
8090.0 8.881742999999999236e-04
8095.0 9.553956999999999641e-04
8100.0 1.022459999999999992e-03
8105.0 1.021281750000000007e-03
8110.0 1.088110400000000125e-03
8115.0 1.154781950000000014e-03
8120.0 1.221296400000000107e-03
8125.0 1.287653749999999970e-03
8130.0 1.353854000000000038e-03
8135.0 1.487511300000000057e-03
8140.0 1.553318800000000202e-03
8145.0 1.686426249999999852e-03
8150.0 1.819219500000000345e-03
8155.0 1.884398600000000007e-03
8160.0 2.083863400000000171e-03
8165.0 2.282856899999999647e-03
8170.0 2.481379100000000171e-03
8175.0 2.679430000000000006e-03
8180.0 2.943916800000000254e-03
8185.0 3.207775199999999584e-03
8190.0 3.471005199999999732e-03
8195.0 3.800278350000000152e-03
8200.0 4.128765999999999860e-03
8205.0 4.522982600000000249e-03
8210.0 4.916256600000000129e-03
8215.0 5.374945350000000233e-03
8220.0 5.898813199999999347e-03
8225.0 6.487624500000000599e-03
8230.0 7.075021899999998920e-03
8235.0 7.859134850000001199e-03
8240.0 8.575397999999999701e-03
8245.0 9.487591200000001015e-03
8250.0 1.046339249999999992e-02
8255.0 1.163402415000000176e-02
8260.0 1.286747839999999830e-02
8265.0 1.422909145000000007e-02
8270.0 1.584937859999999837e-02
8275.0 1.766198249999999942e-02
8280.0 1.966619619999999957e-02
8285.0 2.192657039999999780e-02
8290.0 2.444216249999999965e-02
8295.0 2.740733155000000046e-02
8300.0 3.062536200000000319e-02
8305.0 3.422519814999999688e-02
8310.0 3.840002080000000373e-02
8315.0 4.301813639999999689e-02
8320.0 4.833672660000000454e-02
8325.0 5.428857000000000127e-02
8330.0 6.093586080000000516e-02
8335.0 6.879178404999999885e-02
8340.0 7.714353280000001145e-02
8345.0 8.669668739999999985e-02
8350.0 9.776795300000001854e-02
8355.0 1.096459365499999894e-01
8360.0 1.227120510000000164e-01
8365.0 1.381138342999999880e-01
8370.0 1.544362767999999941e-01
8375.0 1.725696562499999809e-01
8380.0 1.918694867999999887e-01
8385.0 2.129681575999999854e-01
8390.0 2.359860510000000022e-01
8395.0 2.598993890500000403e-01
8400.0 2.838797740000000291e-01
8405.0 3.097011631500000139e-01
8410.0 3.352677882999999803e-01
8415.0 3.619078787500000227e-01
8420.0 3.873442679999999916e-01
8425.0 4.118964890000000323e-01
8430.0 4.367012397999999740e-01
8435.0 4.584864823500000575e-01
8440.0 4.789595023999999590e-01
8445.0 4.980622689000000491e-01
8450.0 5.141704274999999713e-01
8455.0 5.298611187000000777e-01
8460.0 5.421978615999999418e-01
8465.0 5.528787515999999957e-01
8470.0 5.622840234000000548e-01
8475.0 5.703561172500000165e-01
8480.0 5.755451268000000287e-01
8485.0 5.800980553499999193e-01
8490.0 5.835829996999999381e-01
8495.0 5.861898415500000903e-01
8500.0 5.874268400000000057e-01
8505.0 5.883498040000000318e-01
8510.0 5.880957911999999954e-01
8515.0 5.885186094499998966e-01
8520.0 5.883843506000000501e-01
8525.0 5.894782657499999523e-01
8530.0 5.879883025000000041e-01
8535.0 5.879721480499999764e-01
8540.0 5.874640956000000136e-01
8545.0 5.854260884999998860e-01
8550.0 5.859573495000000021e-01
8555.0 5.843497531499999287e-01
8560.0 5.843287286000000691e-01
8565.0 5.833320772500000251e-01
8570.0 5.823968346000000240e-01
8575.0 5.812192562500000381e-01
8580.0 5.808915023999999816e-01
8585.0 5.806837381499999617e-01
8590.0 5.791443057999999811e-01
8595.0 5.802639679500000147e-01
8600.0 5.792076360000000257e-01
8605.0 5.791760072000000648e-01
8610.0 5.780597589999999508e-01
8615.0 5.783261404500000813e-01
8620.0 5.774499499999999896e-01
8625.0 5.783116449999999853e-01
8630.0 5.779125065999999311e-01
8635.0 5.767953157999999858e-01
8640.0 5.756790675999999829e-01
8645.0 5.750405784000000020e-01
8650.0 5.719017879999999110e-01
8655.0 5.744759968000000550e-01
8660.0 5.723514623999998996e-01
8665.0 5.724241917500000332e-01
8670.0 5.706000240999999917e-01
8675.0 5.696656454999999841e-01
8680.0 5.687907903999999126e-01
8685.0 5.698034062999999261e-01
8690.0 5.689855610999999813e-01
8695.0 5.686384053999999910e-01
8700.0 5.695236479999999935e-01
8705.0 5.691726433500000626e-01
8710.0 5.685276344999999898e-01
8715.0 5.668292691499998703e-01
8720.0 5.667108600000000385e-01
8725.0 5.623315194999999322e-01
8730.0 5.626815219000000923e-01
8735.0 5.615156474999999370e-01
8740.0 5.627333664000000457e-01
8745.0 5.590711356999999992e-01
8750.0 5.580825750000000252e-01
8755.0 5.590623569999999543e-01
8760.0 5.554137940000000162e-01
8765.0 5.530428566999999740e-01
8770.0 5.528665736000000219e-01
8775.0 5.526311597499999895e-01
8780.0 5.517045576000000340e-01
8785.0 5.519264797499999764e-01
8790.0 5.522603794000000565e-01
8795.0 5.531065040999999516e-01
8800.0 5.522903869999999937e-01
8805.0 5.514744270000000448e-01
8810.0 5.507726439000000251e-01
8815.0 5.501276350500000634e-01
8820.0 5.491980479999999387e-01
8825.0 5.482689322500000628e-01
8830.0 5.476237662999998701e-01
8835.0 5.469216690000000547e-01
8840.0 5.459932601999999413e-01
8845.0 5.451217827500001167e-01
8850.0 5.447016714999999287e-01
8855.0 5.437175881500000418e-01
8860.0 5.430714795999999067e-01
8865.0 5.422004734499999978e-01
8870.0 5.414979833999999936e-01
8875.0 5.404594037500000114e-01
8880.0 5.399807115999999407e-01
8885.0 5.391662440500000208e-01
8890.0 5.385191928999999433e-01
8895.0 5.374821056999999902e-01
8900.0 5.368905720000000104e-01
8905.0 5.360209797500000706e-01
8910.0 5.353734572999999664e-01
8915.0 5.343934585499999779e-01
8920.0 5.335246517999999716e-01
8925.0 5.329321754999999383e-01
8930.0 5.319533550000000721e-01
8935.0 5.313054397999998901e-01
8940.0 5.303274048000000684e-01
8945.0 5.297342215499999396e-01
8950.0 5.287020830000001004e-01
8955.0 5.279443897000000163e-01
8960.0 5.270773896000000569e-01
8965.0 5.264835779500000035e-01
8970.0 5.253443319999999694e-01
8975.0 5.245871099999999121e-01
8980.0 5.236668704000000396e-01
8985.0 5.229098840499999401e-01
8990.0 5.219903514000000522e-01
8995.0 5.212336007000000215e-01
9000.0 5.202067249999999810e-01
9005.0 5.180685813750000035e-01
9010.0 5.160920909999999751e-01
9015.0 5.138482170000000515e-01
9020.0 5.118719375000000404e-01
9025.0 5.096303831249999750e-01
9030.0 5.075487950000000525e-01
9035.0 5.051523353750000389e-01
9040.0 5.032298699999999680e-01
9045.0 5.012544339999999155e-01
9050.0 4.990709112499999711e-01
9055.0 4.969920644999999970e-01
9060.0 4.947591559999999777e-01
9065.0 4.927330689999999680e-01
9070.0 4.905026909999999907e-01
9075.0 4.885791712499999995e-01
9080.0 4.862496000000000040e-01
9085.0 4.842252000000000223e-01
9090.0 4.822007999999999850e-01
9095.0 4.803264551250000514e-01
9100.0 4.781021924999999673e-01
9105.0 4.758796168750000222e-01
9110.0 4.739550427499999996e-01
9115.0 4.719312753750000144e-01
9120.0 4.698585440000000446e-01
9125.0 4.675912218750000182e-01
9130.0 4.659570577499999589e-01
9135.0 4.636428803750000105e-01
9140.0 4.617161974999999807e-01
9145.0 4.593574844999999685e-01
9150.0 4.577649037500000073e-01
9155.0 4.555986727500000444e-01
9160.0 4.537646459999999937e-01
9165.0 4.514112048750000272e-01
9170.0 4.497635447499999661e-01
9175.0 4.475061337499999792e-01
9180.0 4.458080334999999783e-01
9185.0 4.434598642500000021e-01
9190.0 4.418508352500000180e-01
9195.0 4.398716035000000413e-01
9200.0 4.378007700000000058e-01
