A normalised
3000 0
3008.01 0
3016.02 0
3024.02 0
3032.03 0
3040.04 0
3048.05 0
3056.06 0
3064.06 0
3072.07 0
3080.08 0
3088.09 0
3096.1 0
3104.1 0
3112.11 0
3120.12 0
3128.13 0
3136.14 0
3144.14 0
3152.15 0
3160.16 0
3168.17 0
3176.18 0
3184.18 0
3192.19 0
3200.2 0
3208.21 0
3216.22 0
3224.22 0
3232.23 0
3240.24 0
3248.25 0
3256.26 0
3264.26 0
3272.27 0
3280.28 0
3288.29 0
3296.3 0
3304.3 0
3312.31 0
3320.32 0
3328.33 0
3336.34 0
3344.34 0
3352.35 0
3360.36 0
3368.37 0
3376.38 0
3384.38 0
3392.39 0
3400.4 0
3408.41 0
3416.42 0
3424.42 0
3432.43 0
3440.44 0
3448.45 0
3456.46 0
3464.46 0
3472.47 0
3480.48 0
3488.49 0
3496.5 0
3504.5 5.15914e-07
3512.51 7.20933e-07
3520.52 1.36559e-06
3528.53 1.37449e-06
3536.54 9.63595e-07
3544.54 1.5076e-06
3552.55 1.6556e-06
3560.56 1.86916e-06
3568.57 1.45694e-06
3576.58 1.59482e-06
3584.58 2.0593e-07
3592.59 1.51158e-06
3600.6 9.09389e-07
3608.61 1.34161e-06
3616.62 1.37516e-06
3624.62 1.54935e-06
3632.63 9.89065e-07
3640.64 1.68505e-06
3648.65 1.62268e-06
3656.66 1.51777e-06
3664.66 1.256e-06
3672.67 1.15502e-06
3680.68 1.66849e-06
3688.69 1.48756e-06
3696.7 1.89915e-06
3704.7 1.31179e-06
3712.71 2.03326e-06
3720.72 1.59699e-06
3728.73 1.13453e-06
3736.74 2.97467e-06
3744.74 1.76226e-06
3752.75 3.09586e-06
3760.76 1.9138e-06
3768.77 3.48697e-06
3776.78 2.75323e-06
3784.78 3.32365e-06
3792.79 2.41338e-06
3800.8 2.09891e-06
3808.81 3.04254e-06
3816.82 2.93152e-06
3824.82 2.98796e-06
3832.83 3.59852e-06
3840.84 3.75477e-06
3848.85 3.88904e-06
3856.86 2.30501e-06
3864.86 3.75444e-06
3872.87 3.81233e-06
3880.88 3.57754e-06
3888.89 4.49365e-06
3896.9 4.63709e-06
3904.9 4.81463e-06
3912.91 6.22163e-06
3920.92 6.14347e-06
3928.93 7.22024e-06
3936.94 6.33806e-06
3944.94 1.30338e-05
3952.95 8.59005e-06
3960.96 2.56994e-06
3968.97 4.58508e-06
3976.98 4.19308e-06
3984.98 4.37385e-06
3992.99 4.41513e-06
4001 4.44387e-06
4009.01 3.97025e-06
4017.02 6.75458e-06
4025.03 8.102e-06
4033.03 8.34973e-06
4041.04 5.37586e-06
4049.05 3.60972e-06
4057.06 4.85105e-06
4065.07 7.65499e-06
4073.07 6.48326e-06
4081.08 7.20849e-06
4089.09 4.62743e-06
4097.1 4.77408e-06
4105.11 6.72772e-06
4113.11 6.24208e-06
4121.12 5.80279e-06
4129.13 6.48079e-06
4137.14 5.36607e-06
4145.15 8.0172e-06
4153.15 6.8891e-06
4161.16 1.09233e-05
4169.17 1.19574e-05
4177.18 1.30313e-05
4185.19 2.3736e-05
4193.19 2.26571e-05
4201.2 1.19716e-05
4209.21 7.0914e-06
4217.22 6.86291e-06
4225.23 6.0356e-06
4233.23 4.06459e-06
