A normalised
3000 0
3008.01 0
3016.02 0
3024.02 0
3032.03 0
3040.04 0
3048.05 0
3056.06 0
3064.06 0
3072.07 0
3080.08 0
3088.09 0
3096.1 0
3104.1 0
3112.11 0
3120.12 0
3128.13 0
3136.14 0
3144.14 0
3152.15 0
3160.16 0
3168.17 0
3176.18 0
3184.18 0
3192.19 0
3200.2 0
3208.21 0
3216.22 0
3224.22 0
3232.23 0
3240.24 0
3248.25 0
3256.26 0
3264.26 0
3272.27 0
3280.28 0
3288.29 0
3296.3 0
3304.3 0
3312.31 0
3320.32 0
3328.33 0
3336.34 0
3344.34 0
3352.35 0
3360.36 0
3368.37 0
3376.38 0
3384.38 0
3392.39 0
3400.4 0
3408.41 0
3416.42 0
3424.42 0
3432.43 0
3440.44 0
3448.45 0
3456.46 0
3464.46 0
3472.47 0
3480.48 0
3488.49 0
3496.5 0
3504.5 -4.79571e-07
3512.51 -3.13756e-07
3520.52 -2.65889e-07
3528.53 -6.02127e-07
3536.54 -4.33045e-07
3544.54 -5.21525e-08
3552.55 1.88508e-07
3560.56 -7.52665e-08
3568.57 -6.11107e-07
3576.58 -4.02007e-07
3584.58 -2.40039e-07
3592.59 -2.99006e-07
3600.6 -4.90197e-07
3608.61 -9.99932e-07
3616.62 -6.96626e-07
3624.62 -4.97353e-07
3632.63 -4.76651e-07
3640.64 -4.01544e-07
3648.65 -5.94823e-07
3656.66 -1.03082e-06
3664.66 -7.85666e-07
3672.67 -2.66444e-07
3680.68 -2.97261e-07
3688.69 -1.44536e-07
3696.7 -6.42802e-08
3704.7 -4.70129e-07
3712.71 -6.06459e-07
3720.72 3.44318e-07
3728.73 -2.08306e-07
3736.74 -5.79839e-07
3744.74 -4.90378e-07
3752.75 -3.33633e-07
3760.76 -5.62259e-07
3768.77 3.65979e-08
3776.78 -2.64189e-07
3784.78 -4.97123e-07
3792.79 -6.91378e-07
3800.8 -1.05009e-06
3808.81 -7.30328e-07
3816.82 -9.70089e-07
3824.82 -7.77529e-07
3832.83 -3.94803e-07
3840.84 -4.06018e-07
3848.85 -9.88702e-07
3856.86 -3.66134e-07
3864.86 3.08083e-07
3872.87 5.53461e-07
3880.88 3.08464e-07
3888.89 9.48875e-07
3896.9 7.89298e-08
3904.9 -8.39858e-07
3912.91 -8.87532e-07
3920.92 2.15732e-07
3928.93 -6.81151e-08
3936.94 8.72258e-07
3944.94 2.03193e-07
3952.95 -7.12663e-07
3960.96 -1.75412e-08
3968.97 9.17819e-07
3976.98 -5.10885e-07
3984.98 -1.02259e-06
3992.99 -9.15607e-07
4001 -9.49219e-07
4009.01 1.17568e-07
4017.02 5.47673e-08
4025.03 -8.70925e-07
4033.03 -1.03157e-06
4041.04 4.95686e-07
4049.05 1.40465e-07
4057.06 2.8293e-07
4065.07 -5.8566e-07
4073.07 -9.06147e-07
4081.08 5.10681e-07
4089.09 7.61959e-07
4097.1 7.60328e-07
4105.11 1.08836e-06
4113.11 2.50869e-06
4121.12 5.82919e-06
4129.13 1.22112e-05
4137.14 1.95201e-05
4145.15 2.45943e-05
4153.15 2.3191e-05
4161.16 1.38507e-05
4169.17 4.96642e-06
4177.18 2.35443e-06
4185.19 4.14997e-07
4193.19 -3.25048e-07
4201.2 7.29352e-07
