A normalised
3000 0
3008.01 0
3016.02 0
3024.02 0
3032.03 0
3040.04 0
3048.05 0
3056.06 0
3064.06 0
3072.07 0
3080.08 0
3088.09 0
3096.1 0
3104.1 0
3112.11 0
3120.12 0
3128.13 0
3136.14 0
3144.14 0
3152.15 0
3160.16 0
3168.17 0
3176.18 0
3184.18 0
3192.19 0
3200.2 0
3208.21 0
3216.22 0
3224.22 0
3232.23 0
3240.24 0
3248.25 0
3256.26 0
3264.26 0
3272.27 0
3280.28 0
3288.29 0
3296.3 0
3304.3 0
3312.31 0
3320.32 0
3328.33 0
3336.34 0
3344.34 0
3352.35 0
3360.36 0
3368.37 0
3376.38 0
3384.38 0
3392.39 0
3400.4 0
3408.41 0
3416.42 0
3424.42 0
3432.43 0
3440.44 0
3448.45 0
3456.46 0
3464.46 0
3472.47 0
3480.48 0
3488.49 0
3496.5 0
3504.5 -4.77626e-07
3512.51 -2.92855e-07
3520.52 -1.3734e-07
3528.53 -6.69138e-07
3536.54 -3.68832e-07
3544.54 -1.27828e-07
3552.55 -9.22135e-08
3560.56 -8.17092e-08
3568.57 -4.7185e-07
3576.58 -2.7331e-07
3584.58 -1.78032e-07
3592.59 -2.60574e-07
3600.6 -3.41388e-07
3608.61 -6.85461e-07
3616.62 -5.04222e-07
3624.62 -5.24067e-07
3632.63 -6.73341e-07
3640.64 -5.7831e-07
3648.65 -3.90638e-07
3656.66 -1.1485e-06
3664.66 -9.82475e-07
3672.67 -4.79534e-07
3680.68 -9.17586e-07
3688.69 -2.45856e-07
3696.7 -4.01695e-07
3704.7 -3.50919e-07
3712.71 -1.10674e-07
3720.72 -5.27769e-08
3728.73 -1.79808e-07
3736.74 -2.10833e-07
3744.74 -9.28118e-08
3752.75 3.18806e-08
3760.76 -6.9139e-08
3768.77 -6.99779e-07
3776.78 -2.37953e-07
3784.78 -1.16104e-07
3792.79 -3.20893e-07
3800.8 -4.60121e-07
3808.81 -8.74696e-07
3816.82 -1.06583e-07
3824.82 3.0396e-07
3832.83 3.95991e-09
3840.84 -7.51152e-07
3848.85 -1.98778e-07
3856.86 4.11578e-07
3864.86 8.76335e-08
3872.87 -5.57694e-09
3880.88 1.42817e-06
3888.89 2.4074e-06
3896.9 6.14879e-06
3904.9 2.47691e-05
3912.91 0.000101822
3920.92 0.000419612
3928.93 0.00193542
3936.94 0.0119258
3944.94 0.0411704
3952.95 0.0979852
3960.96 0.186471
3968.97 0.298944
3976.98 0.396399
3984.98 0.46556
3992.99 0.508477
4001 0.53166
4009.01 0.543022
4017.02 0.549872
4025.03 0.556062
4033.03 0.56271
4041.04 0.570415
4049.05 0.578759
4057.06 0.586588
4065.07 0.594418
4073.07 0.602147
4081.08 0.609794
4089.09 0.615929
4097.1 0.620871
4105.11 0.626294
4113.11 0.632563
4121.12 0.639156
4129.13 0.643938
4137.14 0.646369
4145.15 0.648717
4153.15 0.65245
4161.16 0.658696
4169.17 0.666685
4177.18 0.673229
4185.19 0.677999
4193.19 0.681907
4201.2 0.685777
4209.21 0.69099
4217.22 0.696458
4225.23 0.701101
4233.23 0.70543
4241.24 0.709836
4249.25 0.715166
4257.26 0.718721
4265.27 0.721645
4273.27 0.723272
4281.28 0.72345
4289.29 0.723069
