A normalised
3005 4.4139e-06
3010 6.73015e-06
3015 6.56722e-07
3020 7.79681e-06
3025 5.89034e-06
3030 2.65324e-06
3035 3.84884e-06
3040 4.96457e-06
3045 2.87798e-06
3050 7.11917e-06
3055 2.32235e-06
3060 4.60787e-06
3065 6.13851e-06
3070 4.02142e-06
3075 3.46247e-06
3080 3.66063e-06
3085 3.5987e-06
3090 8.60904e-06
3095 7.67128e-07
3100 4.57101e-06
3105 5.13185e-06
3110 9.52608e-07
3115 4.15307e-06
3120 4.36905e-06
3125 2.32975e-06
3130 4.24463e-06
3135 4.61479e-06
3140 2.62626e-06
3145 2.24693e-06
3150 4.55398e-06
3155 -5.27871e-07
3160 4.10253e-06
3165 3.43518e-06
3170 8.559e-09
3175 1.8963e-06
3180 1.75214e-06
3185 2.13916e-06
3190 -1.7045e-06
3195 3.95767e-06
3200 7.69602e-06
3205 -1.34922e-06
3210 4.72549e-06
3215 4.37974e-06
3220 2.7817e-07
3225 1.93026e-06
3230 2.99306e-06
3235 4.73549e-06
3240 3.58042e-06
3245 3.09117e-06
3250 3.47719e-06
3255 3.41246e-06
3260 4.21123e-06
3265 1.27154e-06
3270 4.36419e-07
3275 5.30523e-06
3280 6.4515e-06
3285 -1.53591e-06
3290 4.99001e-06
3295 7.44771e-06
3300 9.61992e-07
3305 4.25552e-06
3310 1.00457e-05
3315 3.61692e-06
3320 6.30673e-06
3325 1.03397e-06
3330 6.69025e-06
3335 6.47931e-06
3340 4.21863e-06
3345 6.75237e-06
3350 3.64308e-06
3355 5.86318e-06
3360 3.78381e-06
3365 1.7597e-06
3370 4.48475e-06
3375 3.60791e-06
3380 1.47134e-06
3385 3.81209e-06
3390 4.56363e-06
3395 2.40104e-06
3400 4.00358e-06
3405 5.15624e-06
3410 2.98491e-06
3415 2.20497e-06
3420 2.39738e-06
3425 3.35516e-06
3430 7.05884e-06
3435 2.67821e-06
3440 9.49063e-07
3445 2.74102e-06
3450 5.20402e-06
3455 2.63753e-06
3460 8.8683e-07
3465 2.56376e-06
3470 2.62093e-06
3475 2.38323e-06
3480 3.36991e-06
3485 4.23174e-06
3490 9.26776e-07
3495 -1.21095e-05
3500 5.42997e-06
3505 3.05996e-06
3510 3.52708e-06
3515 5.33869e-06
3520 8.13956e-06
3525 7.8709e-06
3530 7.89617e-06
3535 4.67528e-06
3540 6.85385e-06
3545 8.2005e-06
3550 8.4563e-06
3555 8.69687e-06
3560 9.41019e-06
3565 9.11777e-06
3570 6.26002e-06
3575 8.33842e-06
3580 5.67379e-06
3585 5.0885e-07
3590 8.25152e-06
3595 5.21389e-06
3600 3.25804e-06
3605 8.66553e-06
3610 4.4448e-06
3615 5.95581e-06
3620 4.91123e-06
3625 6.28046e-06
3630 1.87392e-06
3635 5.62857e-06
3640 6.414e-06
3645 6.36882e-06
3650 5.90577e-06
3655 4.97448e-06
3660 6.6082e-06
3665 4.30208e-06
3670 6.13372e-06
3675 2.1382e-06
3680 5.30922e-06
3685 7.71818e-06
3690 3.90962e-06
3695 5.9359e-06
3700 6.48874e-06
3705 4.00104e-06
3710 4.32484e-06
3715 7.98055e-06
3720 4.7358e-06
3725 5.61899e-06
3730 2.6329e-06
3735 8.14745e-06
3740 9.75166e-06
3745 4.78981e-06
3750 8.84294e-06
3755 8.52581e-06
3760 4.95051e-06
3765 6.88886e-06
3770 1.02018e-05
3775 6.73454e-06
3780 8.29656e-06
3785 8.67431e-06
3790 5.8849e-06
3795 6.42593e-06
3800 5.17093e-06
3805 5.95748e-06
3810 8.01713e-06
3815 6.54543e-06
3820 8.07052e-06
3825 7.05182e-06
3830 7.45238e-06
3835 9.06114e-06
3840 7.96354e-06
3845 1.14921e-05
3850 7.85692e-06
3855 3.51821e-06
3860 7.6599e-06
3865 8.09628e-06
3870 8.27129e-06
3875 7.90903e-06
3880 7.24589e-06
3885 8.4277e-06
3890 9.45378e-06
3895 1.15012e-05
3900 5.91756e-06
3905 9.67494e-06
3910 1.1638e-05
3915 1.26643e-05
3920 1.17013e-05
3925 1.28616e-05
3930 1.4054e-05
3935 8.89546e-06
3940 1.67163e-05
3945 2.42322e-05
3950 1.5538e-05
3955 1.57733e-05
3960 4.14285e-06
3965 6.62966e-06
3970 8.51203e-06
3975 7.86546e-06
3980 6.49249e-06
3985 7.53138e-06
3990 7.77629e-06
3995 7.27858e-06
4000 6.64569e-06
4005 1.04589e-05
4010 5.5963e-06
4015 1.06853e-05
4020 1.16833e-05
4025 1.32064e-05
4030 1.46556e-05
4035 1.28002e-05
4040 1.00075e-05
4045 3.51424e-06
4050 6.30597e-06
4055 6.01417e-06
4060 1.0141e-05
4065 1.21479e-05
4070 7.95229e-06
4075 1.15742e-05
4080 1.20829e-05
4085 8.18193e-06
4090 6.93742e-06
4095 5.97669e-06
4100 9.22578e-06
4105 1.03298e-05
4110 7.52673e-06
4115 1.06377e-05
4120 9.71788e-06
4125 5.35684e-06
4130 1.06189e-05
4135 1.08584e-05
4140 4.13677e-06
4145 1.188e-05
4150 1.11755e-05
4155 9.51828e-06
4160 1.50903e-05
4165 1.8842e-05
4170 1.70632e-05
4175 1.62219e-05
4180 2.21317e-05
4185 3.39225e-05
4190 3.64104e-05
4195 2.99138e-05
4200 1.95471e-05
4205 8.72019e-06
4210 1.02159e-05
4215 1.10394e-05
4220 7.79724e-06
4225 8.39083e-06
4230 8.49241e-06
4235 4.0476e-06
4240 3.68676e-06
4245 6.11042e-06
4250 5.92651e-06
4255 7.89051e-06
4260 8.71034e-06
4265 4.03692e-06
4270 6.37516e-06
4275 7.35889e-06
4280 7.40264e-06
4285 8.30509e-06
4290 1.68467e-05
4295 3.67671e-05
4300 3.15131e-05
4305 2.19196e-05
4310 9.20744e-06
